Year,Value,People
1961,714535.6189,364.1669606
1962,737263.3451,375.7502698
1963,761384.0015,388.0434934
1964,777157.7629,396.0826766
1965,793165.5252,404.2411196
1966,814171.3746,414.9468649
1967,843564.5175,429.9272399
1968,863980.0461,440.332125
1969,866103.1356,441.4141691
1970,891659.2338,454.4389734
1971,906608.5924,462.0579952
1972,905448.2464,461.4666186
1973,938724.7104,478.4261493
1974,956865.701,487.6718037
1975,986058.1334,502.5498855
1976,993255.4995,506.2180622
1977,1017840.71,518.7480483
1978,1054943.759,537.6578189
1979,1082997.124,551.9553688
1980,1076554.015,548.6716033
1981,1106290.538,563.8269838
1982,1148369.707,585.2728609
1983,1153814.097,588.0476238
1984,1212142.904,617.7752173
1985,1232780.232,628.2931436
1986,1251663.405,637.9170553
1987,1263619.862,644.0107286
1988,1273781.068,649.1894425
1989,1312400.135,668.8718598
1990,1345758.378,685.8730696
1991,1359186.886,692.7169817
1992,1514065.616,771.6517679
1993,1528886.788,779.2054588
1994,1574833.588,802.6224951
1995,1602878.043,816.9155039
1996,1665788.331,848.978074
1997,1685285.475,858.9148994
1998,1711383.892,872.2160994
1999,1763566.16,898.8110759
2000,1798259.807,916.4928816
2001,1808591.417,921.7584427
2002,1841537.352,938.5495175
2003,1871853.802,954.000461
2004,1949397.553,993.521055
2005,1983391.65,1010.846331
2006,2024442.399,1031.768069
2007,2077403.676,1058.760071
2008,2157298.137,1099.478717
2009,2171398.998,1106.665298
2010,2213427.446,1128.085325
2011,2279145.799,1161.57904
2012,2301031.078,1172.732992
2013,2372234.94,1209.022427
2014,2416155.156,1231.406604
2015,2439044.584,1243.072325
2016,2456231.346,1251.831652
