Altitude,Scale Height,Atmospheric Density
0,8.4,1.225
100,5.9,5.25E-07
150,25.5,1.73E-09
200,37.5,2.41E-10
250,44.8,5.97E-11
300,50.3,1.87E-11
350,54.8,6.66E-12
400,58.2,2.62E-12
450,61.3,1.09E-12
500,64.5,4.76E-13
550,68.7,2.14E-13
600,74.8,9.89E-14
650,84.4,4.73E-14
700,99.3,2.36E-14
750,121,1.24E-14
800,151,6.95E-15
850,188,4.22E-15
900,226,2.78E-15
950,263,1.98E-15
"1,000",296,1.49E-15
"1,250",408,5.70E-16
"1,500",516,2.79E-16
"2,000",829,9.09E-17
"2,500",1220,4.23E-17
"3,000",1590,2.54E-17
"3,500",1900,1.77E-17
"4,000",2180,1.34E-17
"4,500",2430,1.06E-17
"5,000",2690,8.62E-18
"6,000",3200,6.09E-18
"7,000",3750,4.56E-18
"8,000",4340,3.56E-18
"9,000",4970,2.87E-18
"10,000",5630,2.37E-18
"15,000",9600,1.21E-18
"20,000",14600,7.92E-19
"25,000",20700,5.95E-19
"30,000",27800,4.83E-19
"35,000",36000,4.13E-19
"35,786",37300,4.04E-19
